source_lang,translated
you,usted
I am,yo soy
to,para
the,los
a or A.,a o A.
and,y
that,ese
it,eso
of,de
me,me
what,qué
is,es
in,en
this,esta
know,saber
I'm,soy
for,por
no,no
have,tengo
my,mi
don't,no
just,solo
not,no
do,hacer
be,ser
on,sobre
your,tu
was,era
we,nosotros
it's,es
with,con
so,asi que
but,pero
all,todos
well,bien
are,están
he,él
oh,Oh
about,sobre
right,Derecha
you're,estás
get,obtener
here,aquí
out,fuera
going,yendo
like,igual que
yeah,sí
if,si
her,ella
she,ella
can,pueden
up,hasta
want,querer
think,pensar
that's,esa es
now,ahora
go,ir
him,él
at,a
how,cómo
got,tiene
there,allí
one,uno
did,hizo
why,por qué
see,ver
come,venir
good,bien
they,ellos
really,De Verdad
as,como
would,haría
look,Mira
when,cuando
time,tiempo
will,voluntad
okay,okey
back,espalda
can't,hipocresía
mean,significar
tell,contar
I'll,voy a
from,de
hey,Oye
were,fueron
he's,él es
could,podría
didn't,no
yes,sí
his,su
been,estado
or,o
something,alguna cosa
who,OMS
because,porque
some,algunos
had,tenía
then,luego
say,decir
ok,OK
take,llevar
an,un
way,camino
us,nosotros
little,poco
make,hacer
need,necesitar
gonna,ir a
never,Nunca
we're,fueron
too,también
love,amor
she's,ella esta
I've,He
sure,seguro
them,ellos
more,más
over,sobre
our,nuestro
sorry,perdón
where,dónde
what's,qué
let,dejar
thing,cosa
am,soy
maybe,quizás
down,abajo
man,hombre
has,tiene
uh,Oh
very,muy
by,por
there's,hay
should,deberían
anything,cualquier cosa
said,dijo
much,mucho
any,alguna
life,vida
even,incluso
off,apagado
please,por favor
doing,haciendo
thank,gracias
give,dar
only,solamente
thought,pensamiento
help,ayuda
two,dos
talk,hablar
people,gente
god,Dios
still,todavía
wait,Espere
into,dentro
find,encontrar
nothing,nada
again,de nuevo
things,cosas
let's,Vamos
doesn't,no
call,llama
told,dicho
great,estupendo
before,antes de
better,mejor
ever,siempre
night,noche
than,que
away,lejos
first,primero
believe,creer
other,otro
feel,sentir
everything,todo
work,trabaja
you've,tienes
fine,multa
home,hogar
after,después
last,último
these,estas
day,día
keep,guardar
does,lo hace
put,poner
around,alrededor
stop,parada
they're,son
I'd,Identificación
guy,chico
long,largo
isn't,no es
always,siempre
listen,escucha
wanted,deseado
Mr.,Señor.
guys,tipo
huh,eh
those,aquellos
big,grande
lot,lote
happened,sucedió
thanks,Gracias
won't,no lo hará
trying,difícil
kind,amable
wrong,incorrecto
through,mediante
talking,hablando
made,hecha
new,nuevo
being,ser
guess,adivinar
hi,Hola
care,cuidado
bad,malo
mom,mamá
remember,recordar
getting,obtener
we'll,bien
together,juntos
dad,padre
leave,dejar
mother,madre
place,lugar
understand,comprender
wouldn't,no
actually,Realmente
hear,escuchar
baby,bebé
nice,bonito
father,padre
else,demás
stay,Quédate
done,hecho
wasn't,no estaba
their,su
course,curso
might,podría
mind,mente
every,cada
enough,suficiente
try,tratar
hell,infierno
came,llegó
someone,alguien
you'll,usted lo harás
own,propio
family,familia
whole,entero
another,otro
house or House,casa o casa
Jack or jack,Jack o Jack
yourself,tú mismo
idea,idea
ask,pedir
best,mejor
must,debe
coming,próximo
old,viejo
looking,mirando
woman,mujer
hello,Hola
which,cuales
years,años
room,habitación
money,dinero
left,izquierda
knew,supo
tonight,esta noche
real,verdadero
son,hijo
hope,esperar
name,nombre
same,mismo
went,fue
um,um
hmm,mmm
happy,contento
pretty,lindo
saw,vio
girl,muchacha
sir,señor
show,show
friend,amigo
already,ya
saying,diciendo
may or May,puede o puede
next,Siguiente
three,Tres
job,trabajo
problem,problema
minute,minuto
found,fundar
world,mundo
thinking,pensando
haven't,no he
heard,Escuchó
honey,miel
matter,importar
myself,yo mismo
couldn't,no podía
exactly,exactamente
having,teniendo
ah,ah
probably,probablemente
happen,ocurrir
we've,Hemos
hurt,herir
boy,chico
both,ambos
while,tiempo
dead,muerto
gotta,tengo que
alone,solo
since,ya que
excuse,excusa
start,comienzo
kill,matar
hard,duro
you'd,usted
today,hoy dia
car,coche
ready,Listo
until,Hasta que
without,sin
whatever,lo que
wants,quiere
hold,sostener
wanna,querer
yet,todavía
seen,visto
deal,trato
took,tomó
once,una vez
gone,desaparecido
called,llamado
morning,Mañana
supposed,supuesto
friends,amigos
head,cabeza
stuff,cosas
most,la mayoría
used,usó
worry,preocuparse
second,segundo
part,parte
live,En Vivo
truth,verdad
school,colegio
face,cara
forget,olvidar
TRUE,CIERTO
business,negocio
each,cada
cause,porque
soon,pronto
knows,sabe
few,pocos
telling,narración
wife,esposa
who's,quien es
use,usar
chance,oportunidad
run,correr
move,moverse
anyone,alguien
person,persona
bye,adiós
J.,J.
somebody,alguien
Dr. or dr.,Dr. o Dr.
heart,corazón
such,tal
miss,pierda
married,casado
point,punto
later,más tarde
making,haciendo
meet,encontrarse
anyway,de todas formas
many,muchos
phone,teléfono
reason,razón
damn,maldita sea
lost,perdió
looks,aspecto
bring,traer
case,caso
turn,girar
wish,deseo
tomorrow,mañana
kids,niños
trust,confianza
check,cheque
change,cambio
end,fin
late,tarde
anymore,ya no
five,cinco
least,menos
town,ciudad
aren't,no son
ha,decir ah
working,laboral
year,año
makes,marcas
taking,tomando
means,medio
brother,hermano
play,juego
hate,odio
ago,atrás
says,dice
beautiful,hermosa
gave,dio
fact,hecho
crazy,loco
party,partido
sit,sentarse
open,abierto
afraid,temeroso
between,Entre
important,importante
rest,descansar
fun,divertida
kid,niño
word,palabra
watch,mirar
glad,contento
everyone,todo el mundo
days,dias
sister,hermana
minutes,minutos
everybody,todos
bit,poco
couple,Pareja
whoa,whoa
either,cualquiera
Mrs.,Señora.
feeling,sentimiento
daughter,hija
wow,Guau
gets,obtiene
asked,pedido
under,debajo
break,rotura
promise,promesa
door,puerta
set,colocar
close,cerrar
hand,mano
easy,fácil
question,pregunta
doctor,doctor
tried,intentó
far,lejos
walk,andar
needs,necesidades
trouble,problema
mine,mía
though,aunque
times,veces
different,diferente
killed,delicado
hospital,hospital
anybody,cualquiera
Sam or SAM,Sam o Sam
alright,bien
wedding,boda
shut,cerrar
able,capaz
die,morir
perfect,Perfecto
police,policía
stand,pararse
comes,proviene
hit,pegar
story,historia
ya,ya
mm,mm
waiting,esperando
dinner,cena
against,contra
funny,gracioso
husband,marido
almost,casi
stupid,estúpido
pay,pagar
answer,respuesta
four,cuatro
office,oficina
cool,frio
eyes,ojos
news,Noticias
child,niño
shouldn't,no debería
half,mitad
side,lado
yours,tuyo
moment,momento
sleep,dormir
read,leer
where's,donde esta
started,empezado
young,joven
men,hombres
sounds,sonidos
sonny or Sonny,Sonny o Sonny
lucky,afortunado
pick,elegir
sometimes,algunas veces
em,em
bed,cama
also,además
date,fecha
line,línea
plan,plan
hours,horas
lose,perder
fire,fuego
free,gratis
hands,manos
serious,grave
Leo,León
shit,mierda
behind,detrás
inside,dentro
high,elevado
ahead,adelante
week,semana
wonderful,maravilloso
T.,T.
fight,pelear
past,pasado
cut,Corte
quite,bastante
number,número
he'll,infierno
sick,enfermo
S.,S.
it'll,es
game,juego
eat,come
nobody,nadie
goes,va
death,muerte
along,a lo largo de
save,ahorrar
seems,parece
finally,finalmente
lives,vidas
worried,preocupado
upset,disgustado
Theresa,Hay una
Carly,Carly
Ethan,Ethan
met,reunió
book,libro
